algoritmo,r2_train,r2_test,intercepto,Cuota C.U,Ing. Bruto  Cuota S/. Mensual,Ing. Neto  Cuota S/.  Mensual,Descuento Comercial S/,Canal ACT_2_Tradicional,Canal ISSCOM_2_VIV.LOCALES TRADICIONALES,Locacion Comercial_2_I3 ECOBESA ICA,Subregion Comercial_2_Sub. Oriente,Locacion Comercial_2_JC O.L. IQUITOS,Sector Comercial_2_Oriente 1
Modelo Regresion,0.9470423605543034,0.7534659119904188,531.6928114970401,2429.4556114352526,-1410.1558470122436,2245.5994235200556,153.22850039090827,12.102846482098997,-22.64883595614508,-26.3965214883278,5.545381860228758,5.545381860234897,5.545381860218754
Modelo Ridge,0.9470329538211579,0.7536680345940314,531.6928114970401,2428.7492916319998,-645.1141940960639,1480.9863097527086,152.99370464658907,8.73644281466259,-21.965597295028903,-25.449884404819258,5.9338653682738585,5.933865368432738,5.93386536845337
Modelo Lasso,0.9469847676348504,0.7541511048828335,531.6928114970401,2428.4171465778622,467.17598725679744,367.7681676785862,151.66272444213843,0.0,-16.38759070900418,-23.323600782036806,18.4553112266442,0.0,0.0
Modelo Huber,0.8332186311926651,0.8738152263347995,506.99255880837893,2088.2297532872612,-2572.876808644718,2672.1811697093335,155.68105587529652,10.905920709941263,-10.84440927052033,-5.384339896140529,-1.4744800242195426,-1.4744800242195426,-1.4744800242195426
